Nsta;300S-SF7;300S-SF9;600S-SF7;600S-SF9;900S-SF7;900S-SF9
1;100;100;100;100.0;100;100
1000;89.33333333333333;80.10833333333333;93.21666666666667;89.33333333333333;95.65;92.425
3000;69.34444444444445;50.1888888888889;82.9888888888889;71.15555555555557;88.18333333333334;78.74166666666666
5000;54.99666666666667;32.22666666666667;73.71;57.053333333333335;81.94500000000001;68.82000000000001
7000;42.87023809523809;20.004761904761907;66.00238095238096;45.29285714285714;76.05;59.58214285714286
9000;33.27685185185185;12.325;57.46666666666667;35.94814814814814;69.575;50.59444444444444
11000;;;50.67424242424242;;63.90681818181818;43.14545454545455
13000;;;44.985897435897435;;59.090384615384615;36.988461538461536
15000;;;;;54.23833333333333;31.848333333333333
