Nsta;300S-SF7;300S-SF9;600S-SF7;600S-SF9;900S-SF7;900S-SF9
1;0.651042;1.145833;0.677083;1.145833;0.703125;1.171875
1000;0.728778;1.430355;0.726354;1.282649;0.735102;1.26792
3000;0.938852;2.283042;0.815872;1.610322;0.797345;1.488253
5000;1.183784;3.555544;0.918577;2.008355;0.858045;1.702812
7000;1.518633;5.727803;1.025847;2.529832;0.924556;1.966823
9000;1.95644;9.296822;1.178219;3.187461;1.0106;2.316213
11000;;;1.336149;;1.100235;2.716103
13000;;;1.505101;;1.189914;3.168218
15000;;;;;1.296362;3.679549
