Nsta;300S-SF7;300S-SF9;600S-SF7;600S-SF9;900S-SF7;900S-SF9
1;0.651042;1.145833;0.677083;1.145833;0.703125;1.171875
1000;0.728778;1.430355;0.726354;1.282649;0.735102;1.26792
3000;0.938852;2.283042;0.815872;1.610322;0.797345;1.488253
5000;1.183784;;0.918577;2.008355;0.858045;1.702812
7000;;;1.025847;;0.924556;1.966823
9000;;;1.178219;;1.0106;2.316213
11000;;;;;1.100235;
13000;;;;;1.189914;
15000;;;;;1.296362;
