Nsta;144S-SF7;144S-SF9;360S-SF7;360S-SF9;600S-SF7;600S-SF9
1;100;100;100;100;100;100.0
1000;77.51048951;62.4599401;90.15584416;82.58141858;93.21666666666667;89.33333333333333
3000;45.15281573;23.1946684;72.62512496;55.27290903;82.9888888888889;71.15555555555557
5000;27.74;8.7;60.72725455;39.05758848;73.71;57.053333333333335
7000;16.43;;49.35;26.27;66.00238095238096;45.29285714285714
9000;;;39.96;17.55;57.46666666666667;35.94814814814814
11000;;;;;50.67424242424242;
13000;;;;;44.985897435897435;
