Nsta;144S-SF7;144S-SF9;360S-SF7;360S-SF9;600S-SF7;600S-SF9
1;0.000269;0.000448;0.000302;0.000482;0.000702;0.001196
1000;0.000384;0.000718;0.000336;0.000587;0.000840;0.001441
3000;0.0006;0.001965;0.00042;0.000876;0.001051;0.001792
5000;0.0009;0.005335;0.000503;0.001234;0.001051;0.002390
7000;0.0016;;0.000616;0.00185;0.001401;0.003585
9000;;;0.000774;0.0028;0.001414;0.003661
11000;;;;;0.001456;
13000;;;;;0.002225;
